name;location;info;description;homepage;linkedin;xing;facebook;twitter;instagram;youtube;Bauingenieurwesen;Elektrotechnik;Erneuerbare Energien & Umwelttechnik;Informatik;Landschaftsarchitektur;Maschinentechnik & Innovation;Raumplanung;Wirtschaftsingenieurwesen;Internship;Trainee;Full-Time;tag_0;tag_1;tag_2;tag_3;tag_4
2BIT;Geb 8, 1. UG;2BIT – Ihr Partner für Software Solutions, Mobile Apps und Business Intelligence;"Wir entwickeln speziell auf unsere Kunden abgestimmte Individualsoftware & Mobile Apps und beraten bei allen Fragen rund um Business Intelligence. Ausserdem führen wir laufend Informationsveranstaltungen und Schulungen zu den folgenden Themen durch: PWA, Angular, NativeScript, PowerBI.
Zur Erweiterung unseres Teams, suchen wir laufend engagierte und qualifizierte Mitarbeiterinnen und Mitarbeiter. Auf Wunsch vermitteln wir auch Freelancer.";www.2bit.ch;www.linkedin.com/company/2bit-gmbh/;;www.facebook.com/2BITGmbH/;;;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Mobile Apps;Freelancer;Business Intelligence;;
Abacus Research AG;Geb 1, 1. OG;Als inhabergeführtes Schweizer Software-Unternehmen mit rund 400 Mitarbeitenden entwickelt Abacus seit mehr als drei Jahrzehnten erfolgreich betriebswirtschaftliche Software.;Mit über 100’000 verkauften Software Modulen werden bei mehr als 42’000 Unternehmen in der Schweiz monatlich mehr als 1 Million Lohnabrechnungen mit Abacus Business Software erstellt. Wir schulen rund 2'500 Kursteilnehmende pro Jahr. Im mobilen Bereich sind rund 4'700 Apps im Einsatz. Mittlerweile ist die vierte Software-Generation im Einsatz. Mit «Generation four» (G4) lanciert Abacus eine vollständig web- und plattformbasierte Software, die über Portale, mobile Lösungen und Cloud-Anwendungen verfügt. Die verschiedenen Programmkomponenten sind nahtlos miteinander über die Cloud verbunden und lassen sich mit dem zentralen ERP-System über das Internet automatisch synchronisieren.;www.abacus.ch ;https://ch.linkedin.com/company/abacus-research-ag;https://www.xing.com/companies/abacusresearchag ;;;;https://www.youtube.com/user/abacusonline ;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Full-Stack;ERP;Machine Learning;AI;
ABB Schweiz AG;Geb 4, Aula;ABB ist ein global führendes Technologieunternehmen in den Bereichen Elektrifizierungsprodukte, Robotik und Antriebe, industrielle Automation und Stromnetze.;"ABB ist ein global führendes Technologieunternehmen in den Bereichen Elektrifizierungsprodukte, Robotik und Antriebe, industrielle Automation und Stromnetze mit Kunden in der Energieversorgung, der Industrie und im Transport und Infrastruktursektor. Aufbauend auf einer über 130-jährigen Tradition der Innovation gestaltet ABB heute die Zukunft der industriellen Digitalisierung mit zwei klaren Leistungsversprechen: Strom von jedem Kraftwerk zu jedem Verbrauchspunkt zu bringen sowie Industrien vom Rohstoff bis zum Endprodukt zu automatisieren. Um zu einer nachhaltigen Zukunft beizutragen, verschiebt ABB als namensgebender Partner der FIA Formel E Rennsportserie die Grenzen der Elektromobilität. Das Unternehmen ist in mehr als 100 Ländern tätig und beschäftigt etwa 147‘000 Mitarbeitende, davon rund 6000 in der Schweiz.
Für Studierende und Absolventen bieten wir verschiedene Einstiegsmöglichkeiten von Praktikum über Trainee Programm bis hin zum Direkteinstieg. Besuche uns am Stand während der HSR Stellenbörse, um mehr über deine Möglichkeiten bei der ABB zu erfahren. 
";abb.ch/karriere;linkedin.ch/company/ABB;;facebook.com/ABBcareer;;instagram.com/ABBcareer;;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;Innovation;Technologie;;;
Accenture;Geb 1, 1. OG;Accenture ist eine weltweit führende Beratung in den Bereichen Strategie, Consulting, Digital, Technologie und Operations mit vielfältigen Karrieremöglichkeiten für Absolvente.;Accenture ist ein weltweit führendes Dienstleistungsunternehmen, das ein breites Portfolio von Services und Lösungen in den Bereichen Strategie, Consulting, Digital, Technologie und Operations anbietet. Mit umfassender Erfahrung und spezialisierten Fähigkeiten über mehr als 40 Branchen und alle Unternehmensfunktionen hinweg - gestützt auf  das weltweit grössste Delivery-Netzwerk - arbeitet Accenture an der Schnittstelle von Business und Technologie, um Kunden dabei zu unterstützen, ihre Leistungsfähigkeit zu verbessern und hachhaltigen Wert für ihre Stakeholder zu schaffen. Mit rund 469.000 Mitarbeitenden, die für Kunden in über 120 Ländern tätig sind, treibt Accenture Innovationen voran, um die Art und Weise, wie die Welt lebt und arbeitet, zu verbessern.;www.accenture.ch;;;https://www.facebook.com/AccentureDACH/ ;https://twitter.com/accenturedach?lang=en ;https://www.instagram.com/accenturedach/?hl=en ;;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;Consulting;IT;;;
ACS Partner AG;Geb 1, 2. OG;ACS-Partner AG ist eine Bauingenieur-Firma mit Hauptsitz in Zürich und einer Filiale in Hombrechtikon. Wir bearbeiten schweizweit vielfältige und anspruchsvolle Ingenieurprojekte.;"ACS-Partner AG ist ein privates, unabhängiges Bauingenieurunternehmen mit Hauptsitz in Zürich-Oerlikon sowie einer Niederlassung in Hombrechtikon. Mit unseren rund 40 Mitarbeiterinnen und Mitarbeitern bearbeiten wir seit 1954 vielfältige und anspruchsvolle Bauingenieuraufgaben in der Schweiz und im Ausland.
Die Kernkompetenz unseres Teams in Hombrechtikon liegen im konstruktiven Ingenieurbau (Hoch- und Brückenbau) und im Tiefbau (Verkehrswege- und Werkleitungsbau).
Zum Hauptsitz in Zürich wird ein enger Kontakt gepflegt, wodurch sich das Aufgabenspektrum entsprechend vielfälltig gestaltet. Dies sind neben den obengenannten Schwerpunkten die Fachbereiche Erdbebensicherheit und Instandhaltung von Bauwerken. Der Umfang der Arbeiten reicht hierbei vom Kleinauftrag bis zum Grossprojekt. Die sorgfältige Eingliederung von Studienabgängern und gute Aus- / Weiterbildungsmöglichkeiten sind für uns selbstverständlich.
Wir engagieren uns dafür, auch in Zukunft gut ausgebildete Berufsleute einsetzen zu können, weshalb die Lehrlingsausbildung in unserer Firma einen hohen Stellenwert besitzt.";www.acs-partner.ch;;;;;;;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Hochbau;Tiefbau;Brückenbau;Strassenbau;Werkleitungsbau
Adcubum AG;Geb 1, 1. OG;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Aerne Engineering;Geb 4, 1. OG;Wir sind der leistungsfähige technische Dienstleister in der Ostschweiz. Mit rund 75 Mitarbeitenden decken wir die Bereiche Produktentwicklung, Engineering, Automation und Produktion ab.;Die Entwicklung fon innovativen Produkten, ausgefeiltes Engineering, zuverlässige Automatisierung, Produktions-Know-how und werterhaltender Service sind unsere Stärken. So haben wir uns seit 1997 zu einem der technologisch führenden Unternehmen in der Ostschweiz entwickelt. Aerne Engineering AG mach aus Ideen Handfestes. Mit einem starken Team, das tüftelt, konstruiert, berechnet, programmiert und produziert. Immer mit dem Ziel vor Augen, dem Kunden eine clevere Lösung zu bieten. Dies gelingt dem Unternehmen dank jahrelanger Erfahrung, akribischer Sorgfalt beim Entwickeln und dem Herzblut für Technik.;www.aerne-ag.ch;;https://www.xing.com/companies/aerneengineeringag;https://www.facebook.com/aerneengineeringag;;www.instagram.com/aerneengineeringag/;www.youtube.com/user/AerneEngineering;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;Robotik;Projectmanagement;;;
Allgeier (Schweiz) AG;Geb 8, 1. UG;IT-Dienstleister und Microsoft Gold Partner mit Hauptsitz in Thalwil am Zürichsee. Gehört zur international tätigen Allgeier Gruppe. ;Allgeier (Schweiz) AG hat 30 Jahre Erfahrung mit Microsoft-Technologien im Schweizer Markt. Zahlreiche nationale und internationale Unternehmen werden von der Beratung und Konzeption über die Lösungsentwicklung bis hin zur Einführung, Betrieb und Wartung Schritt für Schritt von eingespielten Teams mit kompetenten Experten begleitet. ;www.allgeier.ch / www.allgeier.com/de;www.linkedin.com/company/allgeier-schweiz-ag/;www.xing.com/companies/allgeier;;;;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Consulting;.NET;SharePoint;Webprogrammierung;
ams International AG;Geb 1, Foyer;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
Anliker AG Bauunternehmung;Geb 1, 2. OG;;;;;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;
